"id","type","description","name"
"txcd_99999999","physical","A physical good that can be moved or touched. Also known as tangible personal property.","General - Tangible Goods"
"txcd_20030000","services","General category for services. It should be used only when there is no more specific services category. In the European Union, the default rule for business-to-consumer sales (B2C) is the location of the seller, whereas for business-to-business sales (B2B) - the location of the buyer.","General - Services"
"txcd_10000000","digital","A digital service provided mainly through the internet with minimal human involvement, relying on information technology. Consider more specific categories like software, digital goods, cloud services, or website services for your product (especially if you sell in the US). If you stay with this category, taxes will be similar to those for a generic digital item like downloaded music.","General - Electronically Supplied Services"
"txcd_00000000","physical","Any nontaxable good or service which can be used to ensure no tax is applied, even for jurisdictions that impose a tax.","Nontaxable"
"txcd_10010001","digital","Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Infrastructure as a service (IaaS) - personal use"
"txcd_10101000","digital","Cloud service offering infrastructure resources (specifically server storage, RAM, and CPU usage) over the internet. This offering is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Infrastructure as a service (IaaS) - business use"
"txcd_10102000","digital","Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Platform as a service (PaaS) - business use"
"txcd_10102001","digital","Cloud service providing a platform for users to develop, run, and manage applications. This offering is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Platform as a Service (PaaS) - personal use"
"txcd_10103000","digital","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Software as a service (SaaS) - personal use"
"txcd_10103001","digital","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and they don't download anything. The software is intended for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Software as a service (SaaS) - business use"
"txcd_10103100","digital","Cloud services software delivered over the internet. The software isn't customized for a specific buyer and this model assumes an electronic transfer to the buyer, such as an app download.  The software is intended for personal use, rather than for use by a commercial enterprise.  Note: The distinction between business use and personal use for this product tax category is relevant only if you have sales in the US.","Software as a service (SaaS) - electronic download - personal use"
